"District","FIPS","Year","Incident Type","Variable","Measure Type","Value"
"Franklin School District","","2013-2014","Sexually Related Behavior","Incidents","Number","0"
"Franklin School District","","2013-2014","Personally Threatening Behavior","Incidents","Number","-9999"
"Franklin School District","","2013-2014","Theft Related Behaviors","Incidents","Number","0"
"Franklin School District","","2013-2014","Physical and Verbal Confrontation","Incidents","Number","-9999"
"Franklin School District","","2013-2014","Fighting and Battery","Incidents","Number","6"
"Franklin School District","","2013-2014","Property Damage","Incidents","Number","0"
"Franklin School District","","2013-2014","Weapons","Incidents","Number","0"
"Franklin School District","","2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Franklin School District","","2014-2015","Violent Crimes Against Persons","Incidents","Number","0"
"Franklin School District","","2014-2015","School Policy Violations","Incidents","Number","-9999"
"Franklin School District","","2014-2015","Sexually Related Behavior","Incidents","Number","0"
"Franklin School District","","2014-2015","Personally Threatening Behavior","Incidents","Number","0"
"Franklin School District","","2014-2015","Theft Related Behaviors","Incidents","Number","-9999"
"Franklin School District","","2014-2015","Physical and Verbal Confrontation","Incidents","Number","-9999"
"Franklin School District","","2014-2015","Fighting and Battery","Incidents","Number","-9999"
"Franklin School District","","2014-2015","Property Damage","Incidents","Number","0"
"Franklin School District","","2014-2015","Weapons","Incidents","Number","0"
"Franklin School District","","2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Franklin School District","","2015-2016","Violent Crimes Against Persons","Incidents","Number","0"
"Franklin School District","","2015-2016","School Policy Violations","Incidents","Number","-9999"
"Franklin School District","","2015-2016","Sexually Related Behavior","Incidents","Number","-9999"
"Franklin School District","","2015-2016","Personally Threatening Behavior","Incidents","Number","-9999"
"Franklin School District","","2015-2016","Theft Related Behaviors","Incidents","Number","0"
"Franklin School District","","2015-2016","Physical and Verbal Confrontation","Incidents","Number","-9999"
"Franklin School District","","2015-2016","Fighting and Battery","Incidents","Number","-9999"
"Franklin School District","","2015-2016","Property Damage","Incidents","Number","0"
"Franklin School District","","2015-2016","Weapons","Incidents","Number","0"
"Franklin School District","","2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Franklin School District","","2016-2017","Violent Crimes Against Persons","Incidents","Number","0"
"Franklin School District","","2016-2017","School Policy Violations","Incidents","Number","-9999"
"Franklin School District","","2016-2017","Sexually Related Behavior","Incidents","Number","0"
"Franklin School District","","2016-2017","Personally Threatening Behavior","Incidents","Number","7"
"Franklin School District","","2016-2017","Theft Related Behaviors","Incidents","Number","0"
"Franklin School District","","2016-2017","Physical and Verbal Confrontation","Incidents","Number","-9999"
"Franklin School District","","2016-2017","Fighting and Battery","Incidents","Number","-9999"
"Franklin School District","","2016-2017","Property Damage","Incidents","Number","0"
"Franklin School District","","2016-2017","Weapons","Incidents","Number","0"
"Franklin School District","","2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Franklin School District","","2017-2018","Violent Crimes Against Persons","Incidents","Number","0"
"Franklin School District","","2017-2018","School Policy Violations","Incidents","Number","-9999"
"Franklin School District","","2017-2018","Sexually Related Behavior","Incidents","Number","0"
"Franklin School District","","2017-2018","Personally Threatening Behavior","Incidents","Number","0"
"Franklin School District","","2017-2018","Theft Related Behaviors","Incidents","Number","0"
"Franklin School District","","2017-2018","Physical and Verbal Confrontation","Incidents","Number","0"
"Franklin School District","","2017-2018","Fighting and Battery","Incidents","Number","-9999"
"Franklin School District","","2017-2018","Property Damage","Incidents","Number","0"
"Franklin School District","","2017-2018","Weapons","Incidents","Number","0"
"Franklin School District","","2017-2018","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Franklin School District","","2018-2019","Violent Crimes Against Persons","Incidents","Number","0"
"Franklin School District","","2018-2019","School Policy Violations","Incidents","Number","-9999"
"Franklin School District","","2018-2019","Sexually Related Behavior","Incidents","Number","0"
"Franklin School District","","2018-2019","Personally Threatening Behavior","Incidents","Number","-9999"
"Franklin School District","","2018-2019","Theft Related Behaviors","Incidents","Number","0"
"Franklin School District","","2018-2019","Physical and Verbal Confrontation","Incidents","Number","-9999"
"Franklin School District","","2018-2019","Fighting and Battery","Incidents","Number","0"
"Franklin School District","","2018-2019","Property Damage","Incidents","Number","0"
"Franklin School District","","2018-2019","Weapons","Incidents","Number","0"
"Franklin School District","","2018-2019","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Franklin School District","","2019-2020","Violent Crimes Against Persons","Incidents","Number","0"
"Franklin School District","","2019-2020","School Policy Violations","Incidents","Number","0"
"Franklin School District","","2019-2020","Sexually Related Behavior","Incidents","Number","0"
"Franklin School District","","2019-2020","Personally Threatening Behavior","Incidents","Number","0"
"Franklin School District","","2019-2020","Theft Related Behaviors","Incidents","Number","0"
"Franklin School District","","2019-2020","Physical and Verbal Confrontation","Incidents","Number","0"
"Franklin School District","","2019-2020","Fighting and Battery","Incidents","Number","-9999"
"Franklin School District","","2019-2020","Property Damage","Incidents","Number","0"
"Franklin School District","","2019-2020","Weapons","Incidents","Number","0"
"Franklin School District","","2019-2020","Drugs, Alcohol, Tobacco","Incidents","Number","0"
"Glastonbury School District","900331240","2009-2010","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2009-2010","School Policy Violations","Incidents","Number","93"
"Glastonbury School District","900331240","2009-2010","Sexually Related Behavior","Incidents","Number","-9999"
"Glastonbury School District","900331240","2009-2010","Personally Threatening Behavior","Incidents","Number","29"
"Glastonbury School District","900331240","2009-2010","Theft Related Behaviors","Incidents","Number","6"
"Glastonbury School District","900331240","2009-2010","Physical and Verbal Confrontation","Incidents","Number","17"
"Glastonbury School District","900331240","2009-2010","Fighting and Battery","Incidents","Number","22"
"Glastonbury School District","900331240","2009-2010","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2009-2010","Weapons","Incidents","Number","-9999"
"Glastonbury School District","900331240","2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number","73"
"Glastonbury School District","900331240","2010-2011","Violent Crimes Against Persons","Incidents","Number","-9999"
"Glastonbury School District","900331240","2010-2011","School Policy Violations","Incidents","Number","72"
"Glastonbury School District","900331240","2010-2011","Sexually Related Behavior","Incidents","Number","6"
"Glastonbury School District","900331240","2010-2011","Personally Threatening Behavior","Incidents","Number","15"
"Glastonbury School District","900331240","2010-2011","Theft Related Behaviors","Incidents","Number","9"
"Glastonbury School District","900331240","2010-2011","Physical and Verbal Confrontation","Incidents","Number","10"
"Glastonbury School District","900331240","2010-2011","Fighting and Battery","Incidents","Number","19"
"Glastonbury School District","900331240","2010-2011","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2010-2011","Weapons","Incidents","Number","-9999"
"Glastonbury School District","900331240","2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number","44"
"Glastonbury School District","900331240","2011-2012","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2011-2012","School Policy Violations","Incidents","Number","116"
"Glastonbury School District","900331240","2011-2012","Sexually Related Behavior","Incidents","Number","-9999"
"Glastonbury School District","900331240","2011-2012","Personally Threatening Behavior","Incidents","Number","23"
"Glastonbury School District","900331240","2011-2012","Theft Related Behaviors","Incidents","Number","6"
"Glastonbury School District","900331240","2011-2012","Physical and Verbal Confrontation","Incidents","Number","7"
"Glastonbury School District","900331240","2011-2012","Fighting and Battery","Incidents","Number","17"
"Glastonbury School District","900331240","2011-2012","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2011-2012","Weapons","Incidents","Number","-9999"
"Glastonbury School District","900331240","2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number","40"
"Glastonbury School District","900331240","2012-2013","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2012-2013","School Policy Violations","Incidents","Number","81"
"Glastonbury School District","900331240","2012-2013","Sexually Related Behavior","Incidents","Number","-9999"
"Glastonbury School District","900331240","2012-2013","Personally Threatening Behavior","Incidents","Number","26"
"Glastonbury School District","900331240","2012-2013","Theft Related Behaviors","Incidents","Number","10"
"Glastonbury School District","900331240","2012-2013","Physical and Verbal Confrontation","Incidents","Number","11"
"Glastonbury School District","900331240","2012-2013","Fighting and Battery","Incidents","Number","15"
"Glastonbury School District","900331240","2012-2013","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2012-2013","Weapons","Incidents","Number","-9999"
"Glastonbury School District","900331240","2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number","27"
"Glastonbury School District","900331240","2013-2014","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2013-2014","School Policy Violations","Incidents","Number","102"
"Glastonbury School District","900331240","2013-2014","Sexually Related Behavior","Incidents","Number","-9999"
"Glastonbury School District","900331240","2013-2014","Personally Threatening Behavior","Incidents","Number","22"
"Glastonbury School District","900331240","2013-2014","Theft Related Behaviors","Incidents","Number","11"
"Glastonbury School District","900331240","2013-2014","Physical and Verbal Confrontation","Incidents","Number","7"
"Glastonbury School District","900331240","2013-2014","Fighting and Battery","Incidents","Number","32"
"Glastonbury School District","900331240","2013-2014","Property Damage","Incidents","Number","0"
"Glastonbury School District","900331240","2013-2014","Weapons","Incidents","Number","-9999"
"Glastonbury School District","900331240","2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number","32"
"Glastonbury School District","900331240","2014-2015","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2014-2015","School Policy Violations","Incidents","Number","80"
"Glastonbury School District","900331240","2014-2015","Sexually Related Behavior","Incidents","Number","-9999"
"Glastonbury School District","900331240","2014-2015","Personally Threatening Behavior","Incidents","Number","25"
"Glastonbury School District","900331240","2014-2015","Theft Related Behaviors","Incidents","Number","-9999"
"Glastonbury School District","900331240","2014-2015","Physical and Verbal Confrontation","Incidents","Number","13"
"Glastonbury School District","900331240","2014-2015","Fighting and Battery","Incidents","Number","11"
"Glastonbury School District","900331240","2014-2015","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2014-2015","Weapons","Incidents","Number","-9999"
"Glastonbury School District","900331240","2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number","19"
"Glastonbury School District","900331240","2015-2016","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2015-2016","School Policy Violations","Incidents","Number","60"
"Glastonbury School District","900331240","2015-2016","Sexually Related Behavior","Incidents","Number","-9999"
"Glastonbury School District","900331240","2015-2016","Personally Threatening Behavior","Incidents","Number","8"
"Glastonbury School District","900331240","2015-2016","Theft Related Behaviors","Incidents","Number","-9999"
"Glastonbury School District","900331240","2015-2016","Physical and Verbal Confrontation","Incidents","Number","10"
"Glastonbury School District","900331240","2015-2016","Fighting and Battery","Incidents","Number","14"
"Glastonbury School District","900331240","2015-2016","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2015-2016","Weapons","Incidents","Number","0"
"Glastonbury School District","900331240","2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number","17"
"Glastonbury School District","900331240","2016-2017","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2016-2017","School Policy Violations","Incidents","Number","88"
"Glastonbury School District","900331240","2016-2017","Sexually Related Behavior","Incidents","Number","6"
"Glastonbury School District","900331240","2016-2017","Personally Threatening Behavior","Incidents","Number","24"
"Glastonbury School District","900331240","2016-2017","Theft Related Behaviors","Incidents","Number","-9999"
"Glastonbury School District","900331240","2016-2017","Physical and Verbal Confrontation","Incidents","Number","17"
"Glastonbury School District","900331240","2016-2017","Fighting and Battery","Incidents","Number","14"
"Glastonbury School District","900331240","2016-2017","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2016-2017","Weapons","Incidents","Number","-9999"
"Glastonbury School District","900331240","2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number","43"
"Glastonbury School District","900331240","2017-2018","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2017-2018","School Policy Violations","Incidents","Number","129"
"Glastonbury School District","900331240","2017-2018","Sexually Related Behavior","Incidents","Number","10"
"Glastonbury School District","900331240","2017-2018","Personally Threatening Behavior","Incidents","Number","18"
"Glastonbury School District","900331240","2017-2018","Theft Related Behaviors","Incidents","Number","9"
"Glastonbury School District","900331240","2017-2018","Physical and Verbal Confrontation","Incidents","Number","14"
"Glastonbury School District","900331240","2017-2018","Fighting and Battery","Incidents","Number","11"
"Glastonbury School District","900331240","2017-2018","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2017-2018","Weapons","Incidents","Number","-9999"
"Glastonbury School District","900331240","2017-2018","Drugs, Alcohol, Tobacco","Incidents","Number","22"
"Glastonbury School District","900331240","2018-2019","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2018-2019","School Policy Violations","Incidents","Number","178"
"Glastonbury School District","900331240","2018-2019","Sexually Related Behavior","Incidents","Number","-9999"
"Glastonbury School District","900331240","2018-2019","Personally Threatening Behavior","Incidents","Number","26"
"Glastonbury School District","900331240","2018-2019","Theft Related Behaviors","Incidents","Number","6"
"Glastonbury School District","900331240","2018-2019","Physical and Verbal Confrontation","Incidents","Number","16"
"Glastonbury School District","900331240","2018-2019","Fighting and Battery","Incidents","Number","16"
"Glastonbury School District","900331240","2018-2019","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2018-2019","Weapons","Incidents","Number","0"
"Glastonbury School District","900331240","2018-2019","Drugs, Alcohol, Tobacco","Incidents","Number","77"
"Glastonbury School District","900331240","2019-2020","Violent Crimes Against Persons","Incidents","Number","0"
"Glastonbury School District","900331240","2019-2020","School Policy Violations","Incidents","Number","118"
"Glastonbury School District","900331240","2019-2020","Sexually Related Behavior","Incidents","Number","-9999"
"Glastonbury School District","900331240","2019-2020","Personally Threatening Behavior","Incidents","Number","21"
"Glastonbury School District","900331240","2019-2020","Theft Related Behaviors","Incidents","Number","-9999"
"Glastonbury School District","900331240","2019-2020","Physical and Verbal Confrontation","Incidents","Number","8"
"Glastonbury School District","900331240","2019-2020","Fighting and Battery","Incidents","Number","18"
"Glastonbury School District","900331240","2019-2020","Property Damage","Incidents","Number","-9999"
"Glastonbury School District","900331240","2019-2020","Weapons","Incidents","Number","0"
"Glastonbury School District","900331240","2019-2020","Drugs, Alcohol, Tobacco","Incidents","Number","18"
"Granby School District","900332640","2009-2010","Violent Crimes Against Persons","Incidents","Number","0"
"Granby School District","900332640","2009-2010","School Policy Violations","Incidents","Number","38"
"Granby School District","900332640","2009-2010","Sexually Related Behavior","Incidents","Number","0"
"Granby School District","900332640","2009-2010","Personally Threatening Behavior","Incidents","Number","7"
"Granby School District","900332640","2009-2010","Theft Related Behaviors","Incidents","Number","9"
"Granby School District","900332640","2009-2010","Physical and Verbal Confrontation","Incidents","Number","8"
"Granby School District","900332640","2009-2010","Fighting and Battery","Incidents","Number","8"
"Granby School District","900332640","2009-2010","Property Damage","Incidents","Number","0"
"Granby School District","900332640","2009-2010","Weapons","Incidents","Number","-9999"
"Granby School District","900332640","2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number","6"
"Granby School District","900332640","2010-2011","Violent Crimes Against Persons","Incidents","Number","-9999"
"Granby School District","900332640","2010-2011","School Policy Violations","Incidents","Number","46"
"Granby School District","900332640","2010-2011","Sexually Related Behavior","Incidents","Number","-9999"
"Granby School District","900332640","2010-2011","Personally Threatening Behavior","Incidents","Number","11"
"Granby School District","900332640","2010-2011","Theft Related Behaviors","Incidents","Number","6"
"Granby School District","900332640","2010-2011","Physical and Verbal Confrontation","Incidents","Number","-9999"
"Granby School District","900332640","2010-2011","Fighting and Battery","Incidents","Number","9"
"Granby School District","900332640","2010-2011","Property Damage","Incidents","Number","-9999"
"Granby School District","900332640","2010-2011","Weapons","Incidents","Number","0"
"Granby School District","900332640","2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number","17"
"Granby School District","900332640","2011-2012","Violent Crimes Against Persons","Incidents","Number","0"
"Granby School District","900332640","2011-2012","School Policy Violations","Incidents","Number","37"
"Granby School District","900332640","2011-2012","Sexually Related Behavior","Incidents","Number","0"
"Granby School District","900332640","2011-2012","Personally Threatening Behavior","Incidents","Number","16"
"Granby School District","900332640","2011-2012","Theft Related Behaviors","Incidents","Number","-9999"
"Granby School District","900332640","2011-2012","Physical and Verbal Confrontation","Incidents","Number","17"
"Granby School District","900332640","2011-2012","Fighting and Battery","Incidents","Number","9"
"Granby School District","900332640","2011-2012","Property Damage","Incidents","Number","0"
"Granby School District","900332640","2011-2012","Weapons","Incidents","Number","-9999"
"Granby School District","900332640","2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number","9"
"Granby School District","900332640","2012-2013","Violent Crimes Against Persons","Incidents","Number","0"
"Granby School District","900332640","2012-2013","School Policy Violations","Incidents","Number","30"
"Granby School District","900332640","2012-2013","Sexually Related Behavior","Incidents","Number","0"
"Granby School District","900332640","2012-2013","Personally Threatening Behavior","Incidents","Number","11"
"Granby School District","900332640","2012-2013","Theft Related Behaviors","Incidents","Number","0"
"Granby School District","900332640","2012-2013","Physical and Verbal Confrontation","Incidents","Number","29"
"Granby School District","900332640","2012-2013","Fighting and Battery","Incidents","Number","-9999"
"Granby School District","900332640","2012-2013","Property Damage","Incidents","Number","-9999"
"Granby School District","900332640","2012-2013","Weapons","Incidents","Number","-9999"
"Granby School District","900332640","2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number","6"
"Granby School District","900332640","2013-2014","Violent Crimes Against Persons","Incidents","Number","0"
"Granby School District","900332640","2013-2014","School Policy Violations","Incidents","Number","36"
"Granby School District","900332640","2013-2014","Sexually Related Behavior","Incidents","Number","-9999"
"Granby School District","900332640","2013-2014","Personally Threatening Behavior","Incidents","Number","9"
"Granby School District","900332640","2013-2014","Theft Related Behaviors","Incidents","Number","0"
"Granby School District","900332640","2013-2014","Physical and Verbal Confrontation","Incidents","Number","20"
"Granby School District","900332640","2013-2014","Fighting and Battery","Incidents","Number","21"
"Granby School District","900332640","2013-2014","Property Damage","Incidents","Number","-9999"
"Granby School District","900332640","2013-2014","Weapons","Incidents","Number","-9999"
"Granby School District","900332640","2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number","-9999"
"Granby School District","900332640","2014-2015","Violent Crimes Against Persons","Incidents","Number","0"
"Granby School District","900332640","2014-2015","School Policy Violations","Incidents","Number","34"
"Granby School District","900332640","2014-2015","Sexually Related Behavior","Incidents","Number","-9999"
"Granby School District","900332640","2014-2015","Personally Threatening Behavior","Incidents","Number","7"
"Granby School District","900332640","2014-2015","Theft Related Behaviors","Incidents","Number","-9999"
"Granby School District","900332640","2014-2015","Physical and Verbal Confrontation","Incidents","Number","29"
"Granby School District","900332640","2014-2015","Fighting and Battery","Incidents","Number","7"
"Granby School District","900332640","2014-2015","Property Damage","Incidents","Number","-9999"
"Granby School District","900332640","2014-2015","Weapons","Incidents","Number","-9999"
"Granby School District","900332640","2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number","7"
"Granby School District","900332640","2015-2016","Violent Crimes Against Persons","Incidents","Number","0"
"Granby School District","900332640","2015-2016","School Policy Violations","Incidents","Number","48"
"Granby School District","900332640","2015-2016","Sexually Related Behavior","Incidents","Number","10"
"Granby School District","900332640","2015-2016","Personally Threatening Behavior","Incidents","Number","9"
"Granby School District","900332640","2015-2016","Theft Related Behaviors","Incidents","Number","-9999"
"Granby School District","900332640","2015-2016","Physical and Verbal Confrontation","Incidents","Number","32"
"Granby School District","900332640","2015-2016","Fighting and Battery","Incidents","Number","14"
"Granby School District","900332640","2015-2016","Property Damage","Incidents","Number","-9999"
"Granby School District","900332640","2015-2016","Weapons","Incidents","Number","-9999"
"Granby School District","900332640","2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number","-9999"
"Granby School District","900332640","2016-2017","Violent Crimes Against Persons","Incidents","Number","-9999"
"Granby School District","900332640","2016-2017","School Policy Violations","Incidents","Number","59"
"Granby School District","900332640","2016-2017","Sexually Related Behavior","Incidents","Number","-9999"
"Granby School District","900332640","2016-2017","Personally Threatening Behavior","Incidents","Number","20"
"Granby School District","900332640","2016-2017","Theft Related Behaviors","Incidents","Number","7"
"Granby School District","900332640","2016-2017","Physical and Verbal Confrontation","Incidents","Number","14"
"Granby School District","900332640","2016-2017","Fighting and Battery","Incidents","Number","14"
"Granby School District","900332640","2016-2017","Property Damage","Incidents","Number","0"
"Granby School District","900332640","2016-2017","Weapons","Incidents","Number","-9999"
"Granby School District","900332640","2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number","6"
"Granby School District","900332640","2017-2018","Violent Crimes Against Persons","Incidents","Number","0"
"Granby School District","900332640","2017-2018","School Policy Violations","Incidents","Number","37"
"Granby School District","900332640","2017-2018","Sexually Related Behavior","Incidents","Number","-9999"
"Granby School District","900332640","2017-2018","Personally Threatening Behavior","Incidents","Number","10"
"Granby School District","900332640","2017-2018","Theft Related Behaviors","Incidents","Number","-9999"
"Granby School District","900332640","2017-2018","Physical and Verbal Confrontation","Incidents","Number","16"
"Granby School District","900332640","2017-2018","Fighting and Battery","Incidents","Number","-9999"
"Granby School District","900332640","2017-2018","Property Damage","Incidents","Number","-9999"
"Granby School District","900332640","2017-2018","Weapons","Incidents","Number","0"
"Granby School District","900332640","2017-2018","Drugs, Alcohol, Tobacco","Incidents","Number","9"
"Granby School District","900332640","2018-2019","Violent Crimes Against Persons","Incidents","Number","-9999"
"Granby School District","900332640","2018-2019","School Policy Violations","Incidents","Number","28"
"Granby School District","900332640","2018-2019","Sexually Related Behavior","Incidents","Number","-9999"
"Granby School District","900332640","2018-2019","Personally Threatening Behavior","Incidents","Number","8"
"Granby School District","900332640","2018-2019","Theft Related Behaviors","Incidents","Number","0"
"Granby School District","900332640","2018-2019","Physical and Verbal Confrontation","Incidents","Number","6"
"Granby School District","900332640","2018-2019","Fighting and Battery","Incidents","Number","9"
"Granby School District","900332640","2018-2019","Property Damage","Incidents","Number","0"
"Granby School District","900332640","2018-2019","Weapons","Incidents","Number","-9999"
"Granby School District","900332640","2018-2019","Drugs, Alcohol, Tobacco","Incidents","Number","23"
"Granby School District","900332640","2019-2020","Violent Crimes Against Persons","Incidents","Number","0"
"Granby School District","900332640","2019-2020","School Policy Violations","Incidents","Number","12"
"Granby School District","900332640","2019-2020","Sexually Related Behavior","Incidents","Number","-9999"
"Granby School District","900332640","2019-2020","Personally Threatening Behavior","Incidents","Number","9"
"Granby School District","900332640","2019-2020","Theft Related Behaviors","Incidents","Number","0"
"Granby School District","900332640","2019-2020","Physical and Verbal Confrontation","Incidents","Number","21"
"Granby School District","900332640","2019-2020","Fighting and Battery","Incidents","Number","14"
"Granby School District","900332640","2019-2020","Property Damage","Incidents","Number","0"
"Granby School District","900332640","2019-2020","Weapons","Incidents","Number","0"
"Granby School District","900332640","2019-2020","Drugs, Alcohol, Tobacco","Incidents","Number","13"
"Great Oaks Charter School Bridgeport","","2009-2010","Violent Crimes Against Persons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2009-2010","School Policy Violations","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2009-2010","Sexually Related Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2009-2010","Personally Threatening Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2009-2010","Theft Related Behaviors","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2009-2010","Physical and Verbal Confrontation","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2009-2010","Fighting and Battery","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2009-2010","Property Damage","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2009-2010","Weapons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","Violent Crimes Against Persons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","School Policy Violations","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","Sexually Related Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","Personally Threatening Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","Theft Related Behaviors","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","Physical and Verbal Confrontation","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","Fighting and Battery","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","Property Damage","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","Weapons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","Violent Crimes Against Persons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","School Policy Violations","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","Sexually Related Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","Personally Threatening Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","Theft Related Behaviors","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","Physical and Verbal Confrontation","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","Fighting and Battery","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","Property Damage","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","Weapons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","Violent Crimes Against Persons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","School Policy Violations","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","Sexually Related Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","Personally Threatening Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","Theft Related Behaviors","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","Physical and Verbal Confrontation","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","Fighting and Battery","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","Property Damage","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","Weapons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","Violent Crimes Against Persons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","School Policy Violations","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","Sexually Related Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","Personally Threatening Behavior","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","Theft Related Behaviors","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","Physical and Verbal Confrontation","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","Fighting and Battery","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","Property Damage","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","Weapons","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number","-6666"
"Great Oaks Charter School Bridgeport","","2014-2015","Violent Crimes Against Persons","Incidents","Number","0"
